,Country,Happiness Score,Year
144,Cambodia,3.819,2015
145,Tanzania,3.781,2015
149,Guinea,3.656,2015
150,Ivory Coast,3.655,2015
151,Burkina Faso,3.587,2015
152,Afghanistan,3.575,2015
154,Benin,3.34,2015
157,Togo,2.839,2015
0,Denmark,7.526,2016
1,Switzerland,7.509,2016
2,Iceland,7.501,2016
3,Norway,7.498,2016
4,Finland,7.413,2016
5,Canada,7.404,2016
6,Netherlands,7.339,2016
7,New Zealand,7.334,2016
8,Australia,7.313,2016
9,Sweden,7.291,2016
10,Israel,7.267,2016
11,Austria,7.119,2016
12,United States,7.104,2016
13,Costa Rica,7.087,2016
15,Germany,6.994,2016
16,Brazil,6.952,2016
17,Belgium,6.929,2016
18,Ireland,6.907,2016
20,Mexico,6.778,2016
21,Singapore,6.739,2016
22,United Kingdom,6.725,2016
23,Chile,6.705,2016
24,Panama,6.701,2016
25,Argentina,6.65,2016
27,United Arab Emirates,6.573,2016
28,Uruguay,6.545,2016
29,Malta,6.488,2016
30,Colombia,6.481,2016
31,France,6.478,2016
32,Thailand,6.474,2016
33,Saudi Arabia,6.379,2016
36,Spain,6.361,2016
37,Algeria,6.355,2016
41,Bahrain,6.218,2016
43,Venezuela,6.084,2016
44,Slovakia,6.078,2016
45,El Salvador,6.068,2016
46,Malaysia,6.005,2016
47,Nicaragua,5.992,2016
48,Uzbekistan,5.987,2016
49,Italy,5.977,2016
50,Ecuador,5.976,2016
52,Japan,5.921,2016
53,Kazakhstan,5.919,2016
54,Moldova,5.897,2016
55,Russia,5.856,2016
56,Poland,5.835,2016
57,South Korea,5.835,2016
58,Bolivia,5.822,2016
59,Lithuania,5.813,2016
62,Slovenia,5.768,2016
63,Peru,5.743,2016
65,Mauritius,5.648,2016
67,Latvia,5.56,2016
68,Cyprus,5.546,2016
69,Paraguay,5.538,2016
70,Romania,5.528,2016
71,Estonia,5.517,2016
72,Jamaica,5.51,2016
73,Croatia,5.488,2016
76,Kosovo,5.401,2016
77,Turkey,5.389,2016
78,Indonesia,5.314,2016
79,Jordan,5.303,2016
81,Philippines,5.279,2016
82,China,5.245,2016
84,Kyrgyzstan,5.185,2016
85,Serbia,5.177,2016
86,Bosnia and Herzegovina,5.163,2016
87,Montenegro,5.161,2016
88,Dominican Republic,5.155,2016
89,Morocco,5.151,2016
90,Hungary,5.145,2016
91,Pakistan,5.132,2016
92,Lebanon,5.129,2016
93,Portugal,5.123,2016
95,Vietnam,5.061,2016
97,Tunisia,5.045,2016
98,Greece,5.033,2016
99,Tajikistan,4.996,2016
100,Mongolia,4.907,2016
102,Nigeria,4.875,2016
103,Honduras,4.871,2016
104,Iran,4.813,2016
105,Zambia,4.795,2016
106,Nepal,4.793,2016
108,Albania,4.655,2016
109,Bangladesh,4.643,2016
110,Sierra Leone,4.635,2016
111,Iraq,4.575,2016
113,Cameroon,4.513,2016
114,Ethiopia,4.508,2016
115,South Africa,4.459,2016
116,Sri Lanka,4.415,2016
117,India,4.404,2016
118,Myanmar,4.395,2016
119,Egypt,4.362,2016
120,Armenia,4.36,2016
121,Kenya,4.356,2016
122,Ukraine,4.324,2016
123,Ghana,4.276,2016
125,Georgia,4.252,2016
127,Senegal,4.219,2016
128,Bulgaria,4.217,2016
130,Zimbabwe,4.193,2016
131,Malawi,4.156,2016
133,Gabon,4.121,2016
134,Mali,4.073,2016
138,Ivory Coast,3.916,2016
139,Cambodia,3.907,2016
144,Burkina Faso,3.739,2016
145,Uganda,3.739,2016
148,Tanzania,3.666,2016
150,Guinea,3.607,2016
152,Benin,3.484,2016
153,Afghanistan,3.36,2016
154,Togo,3.303,2016
0,Norway,7.537000179,2017
1,Denmark,7.521999836,2017
2,Iceland,7.504000187,2017
3,Switzerland,7.493999958,2017
4,Finland,7.468999863,2017
5,Netherlands,7.376999855,2017
6,Canada,7.315999985,2017
7,New Zealand,7.31400013,2017
8,Sweden,7.28399992,2017
9,Australia,7.28399992,2017
10,Israel,7.212999821,2017
11,Costa Rica,7.078999996,2017
12,Austria,7.006000042,2017
13,United States,6.993000031,2017
14,Ireland,6.977000237,2017
15,Germany,6.951000214,2017
16,Belgium,6.890999794,2017
18,United Kingdom,6.714000225,2017
19,Chile,6.65199995,2017
20,United Arab Emirates,6.647999763,2017
21,Brazil,6.635000229,2017
23,Argentina,6.598999977,2017
24,Mexico,6.578000069,2017
25,Singapore,6.572000027,2017
26,Malta,6.52699995,2017
27,Uruguay,6.453999996,2017
29,Panama,6.452000141,2017
30,France,6.441999912,2017
31,Thailand,6.423999786,2017
33,Spain,6.402999878,2017
35,Colombia,6.356999874,2017
36,Saudi Arabia,6.343999863,2017
39,Slovakia,6.09800005,2017
40,Bahrain,6.086999893,2017
41,Malaysia,6.084000111,2017
42,Nicaragua,6.071000099,2017
43,Ecuador,6.007999897,2017
44,El Salvador,6.002999783,2017
45,Poland,5.97300005,2017
46,Uzbekistan,5.971000195,2017
47,Italy,5.964000225,2017
48,Russia,5.962999821,2017
50,Japan,5.920000076,2017
51,Lithuania,5.90199995,2017
52,Algeria,5.872000217,2017
53,Latvia,5.849999905,2017
54,South Korea,5.837999821,2017
55,Moldova,5.837999821,2017
56,Romania,5.824999809,2017
57,Bolivia,5.822999954,2017
59,Kazakhstan,5.818999767,2017
61,Slovenia,5.757999897,2017
62,Peru,5.715000153,2017
63,Mauritius,5.629000187,2017
64,Cyprus,5.620999813,2017
65,Estonia,5.611000061,2017
68,Turkey,5.5,2017
69,Paraguay,5.493000031,2017
71,Philippines,5.429999828,2017
72,Serbia,5.394999981,2017
73,Jordan,5.335999966,2017
74,Hungary,5.323999882,2017
75,Jamaica,5.31099987,2017
76,Croatia,5.293000221,2017
77,Kosovo,5.278999805,2017
78,China,5.272999763,2017
79,Pakistan,5.269000053,2017
80,Indonesia,5.262000084,2017
81,Venezuela,5.25,2017
82,Montenegro,5.236999989,2017
83,Morocco,5.235000134,2017
85,Dominican Republic,5.230000019,2017
86,Greece,5.227000237,2017
87,Lebanon,5.224999905,2017
88,Portugal,5.195000172,2017
89,Bosnia and Herzegovina,5.18200016,2017
90,Honduras,5.181000233,2017
93,Vietnam,5.073999882,2017
94,Nigeria,5.073999882,2017
95,Tajikistan,5.040999889,2017
97,Kyrgyzstan,5.004000187,2017
98,Nepal,4.961999893,2017
99,Mongolia,4.954999924,2017
100,South Africa,4.828999996,2017
101,Tunisia,4.804999828,2017
103,Egypt,4.735000134,2017
104,Bulgaria,4.714000225,2017
105,Sierra Leone,4.709000111,2017
106,Cameroon,4.695000172,2017
107,Iran,4.691999912,2017
108,Albania,4.644000053,2017
109,Bangladesh,4.607999802,2017
111,Kenya,4.552999973,2017
113,Myanmar,4.545000076,2017
114,Senegal,4.534999847,2017
115,Zambia,4.513999939,2017
116,Iraq,4.497000217,2017
117,Gabon,4.465000153,2017
118,Ethiopia,4.460000038,2017
119,Sri Lanka,4.440000057,2017
120,Armenia,4.375999928,2017
121,India,4.315000057,2017
124,Georgia,4.285999775,2017
126,Mali,4.190000057,2017
127,Ivory Coast,4.179999828,2017
128,Cambodia,4.168000221,2017
130,Ghana,4.119999886,2017
131,Ukraine,4.096000195,2017
132,Uganda,4.080999851,2017
133,Burkina Faso,4.032000065,2017
135,Malawi,3.970000029,2017
137,Zimbabwe,3.875,2017
140,Afghanistan,3.79399991,2017
142,Benin,3.657000065,2017
148,Guinea,3.506999969,2017
149,Togo,3.494999886,2017
152,Tanzania,3.348999977,2017
0,Finland,7.632,2018
1,Norway,7.594,2018
2,Denmark,7.555,2018
3,Iceland,7.495,2018
4,Switzerland,7.487,2018
5,Netherlands,7.441,2018
6,Canada,7.328,2018
7,New Zealand,7.324,2018
8,Sweden,7.314,2018
9,Australia,7.272,2018
10,United Kingdom,7.19,2018
11,Austria,7.139,2018
12,Costa Rica,7.072,2018
13,Ireland,6.977,2018
14,Germany,6.965,2018
15,Belgium,6.927,2018
17,United States,6.886,2018
18,Israel,6.814,2018
19,United Arab Emirates,6.774,2018
21,Malta,6.627,2018
22,France,6.489,2018
23,Mexico,6.488,2018
24,Chile,6.476,2018
26,Panama,6.43,2018
27,Brazil,6.419,2018
28,Argentina,6.388,2018
30,Uruguay,6.379,2018
32,Saudi Arabia,6.371,2018
33,Singapore,6.343,2018
34,Malaysia,6.322,2018
35,Spain,6.31,2018
36,Colombia,6.26,2018
38,Slovakia,6.173,2018
39,El Salvador,6.167,2018
40,Nicaragua,6.141,2018
41,Poland,6.123,2018
42,Bahrain,6.105,2018
43,Uzbekistan,6.096,2018
45,Thailand,6.072,2018
46,Italy,6.0,2018
47,Ecuador,5.973,2018
49,Lithuania,5.952,2018
50,Slovenia,5.948,2018
51,Romania,5.945,2018
52,Latvia,5.933,2018
53,Japan,5.915,2018
54,Mauritius,5.891,2018
55,Jamaica,5.89,2018
56,South Korea,5.875,2018
58,Russia,5.81,2018
59,Kazakhstan,5.79,2018
60,Cyprus,5.762,2018
61,Bolivia,5.752,2018
62,Estonia,5.739,2018
63,Paraguay,5.681,2018
64,Peru,5.663,2018
65,Kosovo,5.662,2018
66,Moldova,5.64,2018
68,Hungary,5.62,2018
70,Philippines,5.524,2018
71,Honduras,5.504,2018
73,Turkey,5.483,2018
74,Pakistan,5.472,2018
76,Portugal,5.41,2018
77,Serbia,5.398,2018
78,Greece,5.358,2018
79,Lebanon,5.358,2018
80,Montenegro,5.347,2018
81,Croatia,5.321,2018
82,Dominican Republic,5.302,2018
83,Algeria,5.295,2018
84,Morocco,5.254,2018
85,China,5.246,2018
87,Tajikistan,5.199,2018
89,Jordan,5.161,2018
90,Nigeria,5.155,2018
91,Kyrgyzstan,5.131,2018
92,Bosnia and Herzegovina,5.129,2018
93,Mongolia,5.125,2018
94,Vietnam,5.103,2018
95,Indonesia,5.093,2018
98,Cameroon,4.975,2018
99,Bulgaria,4.933,2018
100,Nepal,4.88,2018
101,Venezuela,4.806,2018
102,Gabon,4.758,2018
104,South Africa,4.724,2018
105,Iran,4.707,2018
106,Ivory Coast,4.671,2018
107,Ghana,4.657,2018
108,Senegal,4.631,2018
110,Tunisia,4.592,2018
111,Albania,4.586,2018
112,Sierra Leone,4.571,2018
114,Bangladesh,4.5,2018
115,Sri Lanka,4.471,2018
116,Iraq,4.456,2018
117,Mali,4.447,2018
119,Cambodia,4.433,2018
120,Burkina Faso,4.424,2018
121,Egypt,4.419,2018
123,Kenya,4.41,2018
124,Zambia,4.377,2018
126,Ethiopia,4.35,2018
127,Georgia,4.34,2018
128,Armenia,4.321,2018
129,Myanmar,4.308,2018
132,India,4.19,2018
134,Uganda,4.161,2018
135,Benin,4.141,2018
137,Ukraine,4.103,2018
138,Togo,3.999,2018
139,Guinea,3.964,2018
143,Zimbabwe,3.692,2018
144,Afghanistan,3.632,2018
146,Malawi,3.587,2018
152,Tanzania,3.303,2018
0,Finland,7.769,2019
1,Denmark,7.6,2019
2,Norway,7.554,2019
3,Iceland,7.494,2019
4,Netherlands,7.488,2019
5,Switzerland,7.48,2019
6,Sweden,7.343,2019
7,New Zealand,7.307,2019
8,Canada,7.278,2019
9,Austria,7.246,2019
10,Australia,7.228,2019
11,Costa Rica,7.167,2019
12,Israel,7.139,2019
14,United Kingdom,7.054,2019
15,Ireland,7.021,2019
16,Germany,6.985,2019
17,Belgium,6.923,2019
18,United States,6.892,2019
20,United Arab Emirates,6.825,2019
21,Malta,6.726,2019
22,Mexico,6.595,2019
23,France,6.592,2019
25,Chile,6.444,2019
27,Saudi Arabia,6.375,2019
29,Spain,6.354,2019
30,Panama,6.321,2019
31,Brazil,6.3,2019
32,Uruguay,6.293,2019
33,Singapore,6.262,2019
34,El Salvador,6.253,2019
35,Italy,6.223,2019
36,Bahrain,6.199,2019
37,Slovakia,6.198,2019
39,Poland,6.182,2019
40,Uzbekistan,6.174,2019
41,Lithuania,6.149,2019
42,Colombia,6.125,2019
43,Slovenia,6.118,2019
44,Nicaragua,6.105,2019
45,Kosovo,6.1,2019
46,Argentina,6.086,2019
47,Romania,6.07,2019
48,Cyprus,6.046,2019
49,Ecuador,6.028,2019
51,Thailand,6.008,2019
52,Latvia,5.94,2019
53,South Korea,5.895,2019
54,Estonia,5.893,2019
55,Jamaica,5.89,2019
56,Mauritius,5.888,2019
57,Japan,5.886,2019
58,Honduras,5.86,2019
59,Kazakhstan,5.809,2019
60,Bolivia,5.779,2019
61,Hungary,5.758,2019
62,Paraguay,5.743,2019
64,Peru,5.697,2019
65,Portugal,5.693,2019
66,Pakistan,5.653,2019
67,Russia,5.648,2019
68,Philippines,5.631,2019
69,Serbia,5.603,2019
70,Moldova,5.529,2019
72,Montenegro,5.523,2019
73,Tajikistan,5.467,2019
74,Croatia,5.432,2019
76,Dominican Republic,5.425,2019
77,Bosnia and Herzegovina,5.386,2019
78,Turkey,5.373,2019
79,Malaysia,5.339,2019
81,Greece,5.287,2019
82,Mongolia,5.285,2019
84,Nigeria,5.265,2019
85,Kyrgyzstan,5.261,2019
87,Algeria,5.211,2019
88,Morocco,5.208,2019
90,Lebanon,5.197,2019
91,Indonesia,5.192,2019
92,China,5.191,2019
93,Vietnam,5.175,2019
95,Cameroon,5.044,2019
96,Bulgaria,5.011,2019
97,Ghana,4.996,2019
98,Ivory Coast,4.944,2019
99,Nepal,4.913,2019
100,Jordan,4.906,2019
101,Benin,4.883,2019
103,Gabon,4.799,2019
105,South Africa,4.722,2019
106,Albania,4.719,2019
107,Venezuela,4.707,2019
108,Cambodia,4.7,2019
110,Senegal,4.681,2019
114,Burkina Faso,4.587,2019
115,Armenia,4.559,2019
116,Iran,4.548,2019
117,Guinea,4.534,2019
118,Georgia,4.519,2019
120,Kenya,4.509,2019
123,Tunisia,4.461,2019
124,Bangladesh,4.456,2019
125,Iraq,4.437,2019
127,Mali,4.39,2019
128,Sierra Leone,4.374,2019
129,Sri Lanka,4.366,2019
130,Myanmar,4.36,2019
132,Ukraine,4.332,2019
133,Ethiopia,4.286,2019
135,Uganda,4.189,2019
136,Egypt,4.166,2019
137,Zambia,4.107,2019
138,Togo,4.085,2019
139,India,4.015,2019
145,Zimbabwe,3.663,2019
149,Malawi,3.41,2019
152,Tanzania,3.231,2019
153,Afghanistan,3.203,2019
0,Finland,7.808700085,2020
1,Denmark,7.645599842,2020
2,Switzerland,7.559899807,2020
3,Iceland,7.504499912,2020
4,Norway,7.487999916,2020
5,Netherlands,7.448900223,2020
6,Sweden,7.353499889,2020
7,New Zealand,7.299600124,2020
8,Austria,7.294199944,2020
10,Canada,7.23210001,2020
11,Australia,7.222799778,2020
12,United Kingdom,7.164500237,2020
13,Israel,7.128600121,2020
14,Costa Rica,7.121399879,2020
15,Ireland,7.093699932,2020
16,Germany,7.075799942,2020
17,United States,6.939599991,2020
19,Belgium,6.863500118,2020
20,United Arab Emirates,6.790800095,2020
21,Malta,6.772799969,2020
22,France,6.663799763,2020
23,Mexico,6.465000153,2020
25,Uruguay,6.440100193,2020
26,Saudi Arabia,6.406499863,2020
27,Spain,6.400899887,2020
29,Italy,6.38740015,2020
30,Singapore,6.377099991,2020
31,Brazil,6.375599861,2020
32,Slovenia,6.363399982,2020
33,El Salvador,6.34829998,2020
34,Kosovo,6.325200081,2020
35,Panama,6.304800034,2020
36,Slovakia,6.280600071,2020
37,Uzbekistan,6.257599831,2020
38,Chile,6.228499889,2020
39,Bahrain,6.227300167,2020
40,Lithuania,6.215499878,2020
42,Poland,6.186299801,2020
43,Colombia,6.163400173,2020
44,Cyprus,6.15899992,2020
45,Nicaragua,6.13710022,2020
46,Romania,6.123700142,2020
48,Mauritius,6.101299763,2020
49,Kazakhstan,6.057899952,2020
50,Estonia,6.021800041,2020
51,Philippines,6.006000042,2020
52,Hungary,6.000400066,2020
53,Thailand,5.998799801,2020
54,Argentina,5.974699974,2020
55,Honduras,5.953199863,2020
56,Latvia,5.949999809,2020
57,Ecuador,5.925199986,2020
58,Portugal,5.910900116,2020
59,Jamaica,5.889800072,2020
60,South Korea,5.872399807,2020
61,Japan,5.870800018,2020
62,Peru,5.796800137,2020
63,Serbia,5.77820015,2020
64,Bolivia,5.747499943,2020
65,Pakistan,5.69329977,2020
66,Paraguay,5.692100048,2020
67,Dominican Republic,5.689199924,2020
68,Bosnia and Herzegovina,5.674099922,2020
69,Moldova,5.607500076,2020
70,Tajikistan,5.555699825,2020
71,Montenegro,5.54610014,2020
72,Russia,5.546000004,2020
73,Kyrgyzstan,5.541500092,2020
76,Greece,5.514999866,2020
78,Croatia,5.504700184,2020
80,Mongolia,5.456200123,2020
81,Malaysia,5.384300232,2020
82,Vietnam,5.353499889,2020
83,Indonesia,5.285600185,2020
84,Ivory Coast,5.233300209,2020
85,Benin,5.21600008,2020
90,Ghana,5.147999763,2020
91,Nepal,5.137199879,2020
92,Turkey,5.131800175,2020
93,China,5.123899937,2020
95,Bulgaria,5.101500034,2020
96,Morocco,5.094799995,2020
97,Cameroon,5.084899902,2020
98,Venezuela,5.053199768,2020
99,Algeria,5.005099773,2020
100,Senegal,4.980800152,2020
101,Guinea,4.949299812,2020
104,Albania,4.882699966,2020
105,Cambodia,4.848400116,2020
106,Bangladesh,4.832799911,2020
107,Gabon,4.829299927,2020
108,South Africa,4.814099789,2020
109,Iraq,4.784800053,2020
110,Lebanon,4.771500111,2020
111,Burkina Faso,4.768700123,2020
113,Mali,4.729300022,2020
114,Nigeria,4.724100113,2020
115,Armenia,4.676799774,2020
116,Georgia,4.672599792,2020
117,Iran,4.672399998,2020
118,Jordan,4.633399963,2020
120,Kenya,4.583000183,2020
122,Ukraine,4.56069994,2020
125,Uganda,4.43200016,2020
127,Tunisia,4.392199993,2020
129,Sri Lanka,4.327000141,2020
132,Myanmar,4.308000088,2020
134,Togo,4.187200069,2020
135,Ethiopia,4.186200142,2020
137,Egypt,4.151400089,2020
138,Sierra Leone,3.926399946,2020
140,Zambia,3.759399891,2020
143,India,3.573299885,2020
144,Malawi,3.538000107,2020
147,Tanzania,3.476200104,2020
150,Zimbabwe,3.299200058,2020
152,Afghanistan,2.566900015,2020
0,Finland,7.842,2021
1,Denmark,7.62,2021
2,Switzerland,7.571,2021
3,Iceland,7.554,2021
4,Netherlands,7.464,2021
5,Norway,7.392,2021
6,Sweden,7.363,2021
8,New Zealand,7.277,2021
9,Austria,7.268,2021
10,Australia,7.183,2021
11,Israel,7.157,2021
12,Germany,7.155,2021
13,Canada,7.103,2021
14,Ireland,7.085,2021
15,Costa Rica,7.069,2021
16,United Kingdom,7.064,2021
18,United States,6.951,2021
19,Belgium,6.834,2021
20,France,6.69,2021
21,Bahrain,6.647,2021
22,Malta,6.602,2021
24,United Arab Emirates,6.561,2021
25,Saudi Arabia,6.494,2021
26,Spain,6.491,2021
27,Italy,6.483,2021
28,Slovenia,6.461,2021
30,Uruguay,6.431,2021
31,Singapore,6.377,2021
32,Kosovo,6.372,2021
33,Slovakia,6.331,2021
34,Brazil,6.33,2021
35,Mexico,6.317,2021
36,Jamaica,6.309,2021
37,Lithuania,6.255,2021
38,Cyprus,6.223,2021
39,Estonia,6.189,2021
40,Panama,6.18,2021
41,Uzbekistan,6.179,2021
42,Chile,6.172,2021
43,Poland,6.166,2021
44,Kazakhstan,6.152,2021
45,Romania,6.14,2021
47,Serbia,6.078,2021
48,El Salvador,6.061,2021
49,Mauritius,6.049,2021
50,Latvia,6.032,2021
51,Colombia,6.012,2021
52,Hungary,5.992,2021
53,Thailand,5.985,2021
54,Nicaragua,5.972,2021
55,Japan,5.94,2021
56,Argentina,5.929,2021
57,Portugal,5.929,2021
58,Honduras,5.919,2021
59,Croatia,5.882,2021
60,Philippines,5.88,2021
61,South Korea,5.845,2021
62,Peru,5.84,2021
63,Bosnia and Herzegovina,5.813,2021
64,Moldova,5.766,2021
65,Ecuador,5.764,2021
66,Kyrgyzstan,5.744,2021
67,Greece,5.723,2021
68,Bolivia,5.716,2021
69,Mongolia,5.677,2021
70,Paraguay,5.653,2021
71,Montenegro,5.581,2021
72,Dominican Republic,5.545,2021
75,Russia,5.477,2021
77,Tajikistan,5.466,2021
78,Vietnam,5.411,2021
80,Malaysia,5.384,2021
81,Indonesia,5.345,2021
83,China,5.339,2021
84,Ivory Coast,5.306,2021
85,Armenia,5.283,2021
86,Nepal,5.269,2021
87,Bulgaria,5.266,2021
90,Cameroon,5.142,2021
91,Senegal,5.132,2021
92,Albania,5.117,2021
94,Ghana,5.088,2021
98,Benin,5.045,2021
100,Bangladesh,5.025,2021
101,Guinea,4.984,2021
102,South Africa,4.956,2021
103,Turkey,4.948,2021
104,Pakistan,4.934,2021
105,Morocco,4.918,2021
106,Venezuela,4.892,2021
107,Georgia,4.891,2021
108,Algeria,4.887,2021
109,Ukraine,4.875,2021
110,Iraq,4.854,2021
111,Gabon,4.852,2021
112,Burkina Faso,4.834,2021
113,Cambodia,4.83,2021
115,Nigeria,4.759,2021
116,Mali,4.723,2021
117,Iran,4.721,2021
118,Uganda,4.636,2021
120,Kenya,4.607,2021
121,Tunisia,4.596,2021
122,Lebanon,4.584,2021
125,Myanmar,4.426,2021
126,Jordan,4.395,2021
128,Sri Lanka,4.325,2021
131,Egypt,4.283,2021
132,Ethiopia,4.275,2021
135,Togo,4.107,2021
136,Zambia,4.073,2021
137,Sierra Leone,3.849,2021
138,India,3.819,2021
141,Tanzania,3.623,2021
143,Malawi,3.6,2021
147,Zimbabwe,3.145,2021
148,Afghanistan,2.523,2021
0,Finland,7.821,2022
1,Denmark,7.636,2022
2,Iceland,7.557,2022
3,Switzerland,7.512,2022
4,Netherlands,7.415,2022
6,Sweden,7.384,2022
7,Norway,7.365,2022
8,Israel,7.364,2022
9,New Zealand,7.2,2022
10,Austria,7.163,2022
11,Australia,7.162,2022
12,Ireland,7.041,2022
13,Germany,7.034,2022
14,Canada,7.025,2022
15,United States,6.977,2022
16,United Kingdom,6.943,2022
18,Belgium,6.805,2022
19,France,6.687,2022
20,Bahrain,6.647,2022
21,Slovenia,6.63,2022
22,Costa Rica,6.582,2022
23,United Arab Emirates,6.576,2022
24,Saudi Arabia,6.523,2022
26,Singapore,6.48,2022
27,Romania,6.477,2022
28,Spain,6.476,2022
29,Uruguay,6.474,2022
30,Italy,6.467,2022
31,Kosovo,6.455,2022
32,Malta,6.447,2022
33,Lithuania,6.446,2022
34,Slovakia,6.391,2022
35,Estonia,6.341,2022
36,Panama,6.309,2022
37,Brazil,6.293,2022
39,Kazakhstan,6.234,2022
40,Cyprus,6.221,2022
41,Latvia,6.18,2022
42,Serbia,6.178,2022
43,Chile,6.172,2022
44,Nicaragua,6.165,2022
45,Mexico,6.128,2022
46,Croatia,6.125,2022
47,Poland,6.123,2022
48,El Salvador,6.12,2022
50,Hungary,6.086,2022
51,Mauritius,6.071,2022
52,Uzbekistan,6.063,2022
53,Japan,6.039,2022
54,Honduras,6.022,2022
55,Portugal,6.016,2022
56,Argentina,5.967,2022
57,Greece,5.948,2022
58,South Korea,5.935,2022
59,Philippines,5.904,2022
60,Thailand,5.891,2022
61,Moldova,5.857,2022
62,Jamaica,5.85,2022
63,Kyrgyzstan,5.828,2022
65,Colombia,5.781,2022
66,Bosnia and Herzegovina,5.768,2022
67,Mongolia,5.761,2022
68,Dominican Republic,5.737,2022
69,Malaysia,5.711,2022
70,Bolivia,5.6,2022
71,China,5.585,2022
72,Paraguay,5.578,2022
73,Peru,5.559,2022
74,Montenegro,5.547,2022
75,Ecuador,5.533,2022
76,Vietnam,5.485,2022
79,Russia,5.459,2022
81,Armenia,5.399,2022
82,Tajikistan,5.377,2022
83,Nepal,5.377,2022
84,Bulgaria,5.371,2022
86,Indonesia,5.24,2022
87,Ivory Coast,5.235,2022
89,Albania,5.199,2022
90,South Africa,5.194,2022
93,Bangladesh,5.155,2022
95,Algeria,5.122,2022
97,Ukraine,5.084,2022
99,Morocco,5.06,2022
101,Cameroon,5.048,2022
102,Senegal,5.046,2022
104,Georgia,4.973,2022
105,Gabon,4.958,2022
106,Iraq,4.941,2022
107,Venezuela,4.925,2022
108,Guinea,4.891,2022
109,Iran,4.888,2022
110,Ghana,4.872,2022
111,Turkey,4.744,2022
112,Burkina Faso,4.67,2022
113,Cambodia,4.64,2022
114,Benin,4.623,2022
116,Uganda,4.603,2022
117,Nigeria,4.552,2022
118,Kenya,4.543,2022
119,Tunisia,4.516,2022
120,Pakistan,4.516,2022
122,Mali,4.479,2022
125,Myanmar,4.394,2022
126,Sri Lanka,4.362,2022
128,Egypt,4.288,2022
130,Ethiopia,4.241,2022
133,Jordan,4.152,2022
134,Togo,4.112,2022
135,India,3.777,2022
136,Zambia,3.76,2022
137,Malawi,3.75,2022
138,Tanzania,3.702,2022
